reference, api_endpoint
/sampleapi/src/main/java/fo/foo/api/controllers/PoliciesController.java,/v1/policies/{policyid:[0-9]+}
/sampleapi/src/main/java/fo/foo/api/controllers/FileUploadController.java,/v1/fileupload/{component}/{component_id}/{sub_component}/{sub_component_id}/{file_id}
/sampleapi/src/main/java/fo/foo/api/controllers/QuestionnairesController.java,/v1/questionnaires/{qnid}
/sampleapi/src/main/java/fo/foo/api/controllers/QuestionnairesController.java,/v1/questionnaires/list
/sampleapi/src/main/java/fo/foo/api/controllers/SamlConfigController.java,/v1/samlconfig/
/sampleapi/src/main/java/fo/foo/api/controllers/OrganizationsController.java,/v1/organizations/list
/sampleapi/src/main/java/fo/foo/api/controllers/OrganizationsController.java,/v1/organizations/{organizationid:[0-9]+}
/sampleapi/src/main/java/fo/foo/api/controllers/TechnologiesController.java,/v1/technologies/list
/sampleapi/src/main/java/fo/foo/api/controllers/DefaultController.java,/
/sampleapi/src/main/java/fo/foo/api/controllers/QuestionnaireTemplateController.java,/v1/qtemplates/{id}
/sampleapi/src/main/java/fo/foo/api/controllers/QuestionnaireTemplateController.java,/v1/qtemplates/list
/sampleapi/src/main/java/fo/foo/api/controllers/TeamIntegrationsController.java,/v1/mappings/list
/sampleapi/src/main/java/fo/foo/api/controllers/TeamIntegrationsController.java,/v1/mappings/{mappingid}
/sampleapi/src/main/java/fo/foo/api/controllers/RepositoriesController.java,/v1/repositories/{repoid}
/sampleapi/src/main/java/fo/foo/api/controllers/RepositoriesController.java,/v1/repositories/list
/sampleapi/src/main/java/fo/foo/api/controllers/NotificationsController.java,/v1/notifications/list
/sampleapi/src/main/java/fo/foo/api/controllers/DashboardsController.java,/v1/dashboards/list
/sampleapi/src/main/java/fo/foo/api/controllers/DashboardsController.java,/v1/dashboards/{dashboardid:[0-9]+}
/sampleapi/src/main/java/fo/foo/api/controllers/UsersController.java,/v1/users/me
/sampleapi/src/main/java/fo/foo/api/controllers/UsersController.java,/v1/users/{userid:[0-9]+}
/sampleapi/src/main/java/fo/foo/api/controllers/UsersController.java,/v1/users/list
/sampleapi/src/main/java/fo/foo/api/controllers/TagsController.java,/v1/tags/list
/sampleapi/src/main/java/fo/foo/api/controllers/TagsController.java,/v1/tags/{id:[0-9]+}
/sampleapi/src/main/java/fo/foo/api/controllers/IntegrationsController.java,/v1/integrations/list
/sampleapi/src/main/java/fo/foo/api/controllers/IntegrationsController.java,/v1/integrations/{integrationid}
/sampleapi/src/main/java/fo/foo/api/controllers/ReleaseAggsController.java,/v1/releases/{releaseaggid}
/sampleapi/src/main/java/fo/foo/api/controllers/ReleaseAggsController.java,/v1/releases/list
/sampleapi/src/main/java/fo/foo/api/controllers/NotesController.java,/v1/notes/list
/sampleapi/src/main/java/fo/foo/api/controllers/NotesController.java,/v1/notes/{id:[0-9]+}
/sampleapi/src/main/java/fo/foo/api/controllers/FileChangesController.java,/v1/filechanges/list
/sampleapi/src/main/java/fo/foo/api/controllers/TeamsController.java,/v1/teams/{teamid:[0-9]+}
/sampleapi/src/main/java/fo/foo/api/controllers/TeamsController.java,/v1/teams/list
/sampleapi/src/main/java/fo/foo/api/controllers/QuestionsController.java,/v1/questions/list
/sampleapi/src/main/java/fo/foo/api/controllers/QuestionsController.java,/v1/questions/{id}
